,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Stable ID,Threat (paraphrased),Threat (verbatim),Pro-dem Mitigation (paraphrased),Pro-dem Mitigation (verbatim),Pro-dem Opportunity (paraphrased),Pro-dem Opportunity (verbatim),Source,Note,Democracy Aspect  1,Democracy Aspect  2,Democracy Aspect  3,Democracy Aspect  4,Democracy Aspect  5,Democracy Aspect  6,More than 4 Democracy Codes ,,,,
190,"AI opacity — whether technical or institutional — erodes accountability in both directions: citizens and oversight bodies lose the ability to audit government decisions, while regulators lose the ability to investigate corporate conduct; unverifiable explanations, unprecedented decision volume, and institutional access barriers jointly overwhelm existing accountability mechanisms","""AI opacity, whether technical or institutional, can erode accountability in both directions: citizens and oversight bodies lose the ability to audit government decisions, while regulators lose the ability to investigate corporate conduct. This dual failure emerges not because AI is merely a 'black box,' but because unverifiable explanations, unprecedented decision volume, and institutional access barriers jointly overwhelm the accountability mechanisms that existing governance depends on""","Require governance-grade decision records by default: standardised logs capturing inputs, model versions, tool calls, retrieved sources, and uncertainty, in formats suitable for audit, comparison, and legal review; explanations should go beyond chain-of-thought to make input-output dependencies explicit","""Institutional AI systems should log decision records by default: durable, standardized traces that capture inputs, model and prompt versions, tool calls, retrieved sources, intermediate state, and uncertainty, in formats suitable for audit, comparison, and legal review""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,2.3 PRIMARY Effective and Accountable Government,1.2 SECONDARY Rule of Law and Access to Justice,3.2 SECONDARY Opinion Formation and Political Participation,2.8 SECONDARY Illegitimate Influence over Policy-Making,,,no,,,,
191,"AI opacity — whether technical or institutional — erodes accountability in both directions: citizens and oversight bodies lose the ability to audit government decisions, while regulators lose the ability to investigate corporate conduct; unverifiable explanations, unprecedented decision volume, and institutional access barriers jointly overwhelm existing accountability mechanisms","""AI opacity, whether technical or institutional, can erode accountability in both directions: citizens and oversight bodies lose the ability to audit government decisions, while regulators lose the ability to investigate corporate conduct. This dual failure emerges not because AI is merely a 'black box,' but because unverifiable explanations, unprecedented decision volume, and institutional access barriers jointly overwhelm the accountability mechanisms that existing governance depends on""",Establish capability-triggered Institutional Safety Levels (ISLs) for public-sector AI: each major institution formalises threat models and specifies capability thresholds that automatically trigger mandatory procedural safeguards,"""Each major institution (legislatures, courts, regulatory agencies, electoral systems) should formalize threat models … We propose encoding these thresholds as Institutional Safety Levels (ISLs) for public-sector AI deployment … Each ISL binds concrete AI capabilities to mandatory procedural safeguards""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,2.3 PRIMARY Effective and Accountable Government,2.4 SECONDARY The Democratic Effectiveness of the Legislature,3.2 SECONDARY Opinion Formation and Political Participation,2.8 SECONDARY Illegitimate Influence over Policy-Making,2.5 SECONDARY Democratic Role of the Judiciary — Courts explicitly named as an oversight institution needing capability-triggered safeguards when AI enters judicial work (p.14). P4Dem inference.,,no,,,,
192,"AI opacity — whether technical or institutional — erodes accountability in both directions: citizens and oversight bodies lose the ability to audit government decisions, while regulators lose the ability to investigate corporate conduct; unverifiable explanations, unprecedented decision volume, and institutional access barriers jointly overwhelm existing accountability mechanisms","""AI opacity, whether technical or institutional, can erode accountability in both directions: citizens and oversight bodies lose the ability to audit government decisions, while regulators lose the ability to investigate corporate conduct. This dual failure emerges not because AI is merely a 'black box,' but because unverifiable explanations, unprecedented decision volume, and institutional access barriers jointly overwhelm the accountability mechanisms that existing governance depends on""",Improving chain-of-thought faithfulness — so that a model's displayed reasoning reliably reflects its actual computation — directly strengthens the institutional auditability of AI-assisted decisions.,"""improved chain-of-thought faithfulness strengthens institutional auditability (Section 3.5).""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,2.3 PRIMARY Effective and Accountable Government,2.4 SECONDARY The Democratic Effectiveness of the Legislature,3.2 SECONDARY Opinion Formation and Political Participation,2.8 SECONDARY Illegitimate Influence over Policy-Making,,,no,,,,
193,"AI systems can produce post-hoc chain-of-thought explanations that do not faithfully reflect their actual decision process — a gap that may be architectural rather than incidental — meaning oversight bodies cannot 'cross-examine' a model the way they can a human official, undermining a foundational assumption of rational-legal accountability.","""AI systems can produce post-hoc explanations, including chain-of-thought traces, but growing evidence suggests these may not faithfully reflect the model's actual decision process … We currently lack reliable methods to 'cross-examine' a model, that is, to confirm that the reasoning it displays is the reasoning it performed.""",Improving chain-of-thought faithfulness — so that a model's displayed reasoning reliably reflects its actual computation — directly strengthens the institutional auditability of AI-assisted decisions.,"""improved chain-of-thought faithfulness strengthens institutional auditability (Section 3.5).""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,2.3 PRIMARY Effective and Accountable Government,2.5 SECONDARY Democratic Role of the Judiciary,1.2 SECONDARY Rule of Law and Access to Justice,,,,no,,,,
194,"Unlike traditional infrastructure choke points that operate through access denial, AI systems carry embedded normative constraints via constitutions and model specs; widespread government procurement of frontier AI transfers normative authority from elected officials to a small set of constitution designers, weakening state sovereignty and bypassing democratic accountability","""Unlike traditional infrastructure choke points that operate through access denial, AI systems carry embedded normative constraints via constitutions, model specs, and usage policies. Where model developers control these constraints and procuring governments lack the capacity or processes to customize them, normative authority shifts from elected officials to a small set of constitution designers, concentrating power in ways that can weaken sovereignty for procuring states and bypass democratic accountability even within the developer's home jurisdiction""","Require interoperability and multi-provider strategies in public AI procurement; mandate transparency on model capabilities, safety constraints, and update policies; require decision-log retention as a mandatory procurement requirement","""Public procurement frameworks should require transparency regarding model capabilities, safety constraints, and update policies; mandate interoperability standards and data portability so that institutions are not locked into a single provider; and support multi-provider deployment strategies that enable hot-swapping without re-engineering workflows.""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,2.8 PRIMARY Illegitimate Influence over Policy-Making,2.3 SECONDARY Effective and Accountable Government,4.1 SECONDARY External Influences on the Country's Democracy,2.4 SECONDARY The Democratic Effectiveness of the Legislature,,,no,,,,
195,"Unlike traditional infrastructure choke points that operate through access denial, AI systems carry embedded normative constraints via constitutions and model specs; widespread government procurement of frontier AI transfers normative authority from elected officials to a small set of constitution designers, weakening state sovereignty and bypassing democratic accountability","""Unlike traditional infrastructure choke points that operate through access denial, AI systems carry embedded normative constraints via constitutions, model specs, and usage policies. Where model developers control these constraints and procuring governments lack the capacity or processes to customize them, normative authority shifts from elected officials to a small set of constitution designers, concentrating power in ways that can weaken sovereignty for procuring states and bypass democratic accountability even within the developer's home jurisdiction""","Develop collective constitutional AI processes: enable representative samples of the public to draft AI constitutions through federated deliberative processes, creating a democratic accountability layer between public values and model behaviour","""representative samples of the public can draft AI constitutions through deliberative processes, producing models that perform comparably on safety metrics while exhibiting less bias than developer-designed baselines … Crucially, such processes should be federated: different polities may legitimately arrive at different normative priorities, and a single constitution should not foreclose that variation""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,2.3 PRIMARY Effective and Accountable Government,3.2 SECONDARY Opinion Formation and Political Participation,2.8 SECONDARY Illegitimate Influence over Policy-Making,2.4 SECONDARY The Democratic Effectiveness of the Legislature,,,no,,,,
198,"As AI capabilities grow and deployment expands, democratic governance may erode through the simultaneous weakening of citizen leverage across economic, ideological, political, and military domains; AI can substitute for human labour, cognition, and participation while concentrating control in a small number of companies and states, creating the potential for self-reinforcing power concentration","""As AI capabilities grow and deployment expands, democratic governance may erode through the simultaneous weakening of citizen leverage across multiple domains of social power. By substituting for human labor, cognition, and participation across economic, ideological, political, and military domains, AI systems can weaken the sources of citizen leverage that historically sustained democratic accountability. At the same time, control over advanced models, compute infrastructure, and deployment pipelines may concentrate in a small number of companies and states … Together, these dynamics create the potential for self-reinforcing power concentration""","For governance-adjacent AI systems, limit autonomy levels so that the degree of autonomy permitted scales with the strength of accountability mechanisms in place — though the source frames this as a question requiring systematic investigation before high-autonomy deployment becomes the default.","""For governance-adjacent AI (systems that touch democratic infrastructure, public administration, or institutional decision-making) … under what conditions does increasing AI autonomy degrade institutional accountability faster than it improves institutional performance? … This principle should be encoded in Institutional Safety Levels (R4.4) and procurement standards""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,1.4 PRIMARY Economic and Social Rights,2.8 SECONDARY Illegitimate Influence over Policy-Making,2.7 SECONDARY Civilian Control of the Military and Police,1.3 SECONDARY Civil and Political Rights,4.2 SECONDARY The Country's Democratic Impact Abroad ,2.3 SECONDARY Effective and Accountable Government,yes,,,,
199,Overestimation of alignment effects: no alignment-level solution addresses the power concentration mechanism.,alignment does nothing to prevent the displacement of human labor and participation that weakens citizen leverage over institutions'.,///,///,///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,2.8 PRIMARY Illegitimate Influence over Policy-Making,1.4 SECONDARY Economic and Social Rights,2.3 SECONDARY Effective and Accountable Government,,,,no,,,,
200,"AI-powered surveillance and predictive enforcement enable more targeted suppression of political dissent at lower cost than traditional methods, reducing the state's dependence on broad citizen cooperation to maintain order and thereby weakening a key structural incentive for democratic accountability.","""AI-powered surveillance and predictive enforcement enable more targeted suppression of political dissent at lower cost than traditional methods, reducing the state's dependence on broad cooperation to maintain order.""",///,///,///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,1.3 PRIMARY Civil and Political Rights,2.7 SECONDARY Civilian Control of the Military and Police,2.3 SECONDARY Effective and Accountable Government,,,,no,,,,
201,///,///,///,///,AI can enable new institutional forms by reducing the cognitive and coordination costs of participation — the same cost reductions that create new vulnerabilities may also open new possibilities for democratic governance.,"""the same reductions in cognitive and coordination costs that create new vulnerabilities may also enable new institutional forms""","Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,3.2 PRIMARY Opinion Formation and Political Participation,,,,,,no,,,,
202,///,///,///,///,AI-mediated deliberation demonstrated at national scale: LLM-based mediators can generate group consensus statements preferred over those from human mediators across thousands of participants,"""Tessler et al. (2024) showed that an LLM-based mediator generated group statements preferred over those from human mediators across thousands of participants, while OpenAI's Democratic Inputs to AI program funded ten teams each engaging 500+ participants""","Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,3.2 PRIMARY Opinion Formation and Political Participation,,,,,,no,,,,
203,///,///,///,///,"Taiwan case: AI-supported citizens' assembly on deepfake regulation converged on durable multiparty policy, reducing impersonation ads by 94% within one year — demonstrating that deliberative infrastructure can be both resilient and effective","""Taiwan convened 447 randomly selected citizens … The law passed with multiparty support, and impersonation ads fell by 94% within a year""","Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,3.2 PRIMARY Opinion Formation and Political Participation,2.4 SECONDARY The Democratic Effectiveness of the Legislature,,,,,no,,,,
204,///,///,///,///,"AI assistants could in principle reduce polarisation by translating opposing arguments into personally compelling language, presenting balanced evidence, or flagging uncertainty","""A system that understands a user's values deeply could translate opposing arguments into personally compelling language, present balanced evidence, or flag uncertainty where the user assumes certainty""","Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,3.2 PRIMARY Opinion Formation and Political Participation,,,,,,no,,,,
205,"Existing AI regulatory frameworks cannot detect or address aggregate institutional harms — they assess individual outputs but have no tools for participatory channel saturation, epistemic monoculture, or transfer of normative authority","""These frameworks provide only limited tools for assessing the aggregate, institution-level failure modes we describe in Section 3—such as participatory channel saturation, epistemic monoculture from shared model dependencies, or the transfer of normative authority to model developers through infrastructure procurement.""","Develop institution-specific threat models with capability thresholds (ISLs), population-scale evaluation benchmarks, governance-grade audit trails, proof-of-personhood for civic inputs, and pluralistic alignment architecture for public AI systems","""encode these thresholds as Institutional Safety Levels (ISLs) for public-sector AI deployment… population- and institution-scale evaluations… log governance-grade decision records by default… proof-of-personhood for inputs such as public comments, filings, reports, or petitions""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,2.3 PRIMARY Effective and Accountable Government,2.8 SECONDARY Illegitimate Influence over Policy-Making,3.2 SECONDARY Opinion Formation and Political Participation,1.1 SECONDARY Nationhood and Citizenship ,,,no,,,,
206,"Existing AI regulatory frameworks provide only limited tools for assessing aggregate, institution-level failure modes such as participatory channel saturation and epistemic monoculture from shared model dependencies","""These frameworks provide only limited tools for assessing the aggregate, institution-level failure modes we describe in Section 3—such as participatory channel saturation, epistemic monoculture from shared model dependencies, or the transfer of normative authority to model developers through infrastructure procurement.""",Develop multi-agent simulations to stress-test institutional resilience under AI-mediated participation before risks materialise at scale,"""Develop multi-agent simulations to evaluate institutional resilience under AI-mediated participation.""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,2.3 PRIMARY Effective and Accountable Government,3.2 SECONDARY Opinion Formation and Political Participation,1.1 SECONDARY Nationhood and Citizenship ,,,,no,,,,
207,"Existing AI regulatory frameworks provide only limited tools for assessing the transfer of normative authority to model developers through infrastructure procurement — one of several aggregate, institution-level failure modes current frameworks cannot adequately address.","""These frameworks provide only limited tools for assessing the aggregate, institution-level failure modes we describe in Section 3—such as participatory channel saturation, epistemic monoculture from shared model dependencies, or the transfer of normative authority to model developers through infrastructure procurement.""","Establish capability-triggered Institutional Safety Levels for public-sector AI, binding concrete AI capabilities to mandatory procedural safeguards set through processes that include democratic input","""We propose encoding these thresholds as Institutional Safety Levels (ISLs) for public-sector AI deployment … Each ISL binds concrete AI capabilities to mandatory procedural safeguards.""; ""The thresholds themselves should be set through processes that include democratic input…""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,2.8 PRIMARY Illegitimate Influence over Policy-Making,2.3 SECONDARY Effective and Accountable Government,3.2 SECONDARY Opinion Formation and Political Participation,,,,no,,,,
208,"Existing AI regulatory frameworks provide only limited tools for assessing participatory channel saturation — one of several aggregate, institution-level failure modes that current frameworks, oriented toward individual-level harms, cannot adequately address.","""These frameworks provide only limited tools for assessing the aggregate, institution-level failure modes we describe in Section 3—such as participatory channel saturation, epistemic monoculture from shared model dependencies, or the transfer of normative authority to model developers through infrastructure procurement.""","Require proof-of-personhood authentication for civic inputs such as public comments, filings, and petitions, so institutions can distinguish genuine participation from automated volume without compromising privacy","""deployed systems need to track provenance and support proof-of-personhood for inputs such as public comments, filings, reports, or petitions, so institutions can distinguish genuine participation from automated volume without compromising privacy.""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,2.3 PRIMARY Effective and Accountable Government,3.2 SECONDARY Opinion Formation and Political Participation,,,,,no,,,,
209,///,///,///,///,AI dialogue systems have demonstrated the ability to durably reduce conspiracy beliefs — offering a potential counter to epistemic flood and belief reinforcement dynamics.,"""Costello et al. (2024) showed that dialogues with AI durably reduced conspiracy beliefs."" (cited within R1)","Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",checked,3.2 PRIMARY Opinion Formation and Political Participation,,,,,,no,,,,
210,///,///,///,///,"Election officials are already using AI to draft communications and provide voters with practical information, representing an emerging pro-democracy use of AI in election administration.","""election officials experimented with AI to draft social media content and provide voters with important information like polling locations and hours of operation"" (Introduction)","Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked,2.3 PRIMARY Effective and Accountable Government,2.1 SECONDARY Free and Fair Elections,,,,,no,,,,
211,Campaigns used deepfake technology to convincingly imitate politicians and produce misleading political advertisements,"""Campaigns leveraged deepfake technology to convincingly imitate politicians and produce misleading advertisements"" (Introduction)","Require major online platforms to use detection tools and label synthetic or AI-modified political content, and to include this information in public political ad files","""Major online platforms should also be required to include such information in any public files on political ads sales that they maintain and to use state-of-the-art tools to detect and label a subset of other political content generated or substantially modified by synthetic means"" (Political Communications Regulations)",///,///,"Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai",checked,3.1 PRIMARY Independent and Fact-Based Journalistic Media,2.1 SECONDARY Free and Fair Elections,3.2 SECONDARY Opinion Formation and Political Participation,2.3 SECONDARY Effective and Accountable Government,,,no,,,,
212,AI-generated content has become indistinguishable from authentic media — people misidentify AI-generated text as human 77% of the time and AI voice clones as real 80% of the time — making detection-based solutions increasingly ineffective,"""participants misidentified text generated by OpenAI's GPT-4o model as human-written 77% of the time… a study found that people took AI voice clones to be the real speaker in 80% of cases""","Multi-layer downstream detection of AI-generated content — combining AI/ML anomaly-detection tools, warning labels on synthetic content, and consumer-side verification of watermarks and content-log provenance — with the recognition that no single technique is robust on its own","""Certain AI and machine learning tools can be trained to detect anomalies in images and videos and thus to identify fake images, but their effectiveness remains limited""; ""'warning labels' designed to alert users to potentially misleading content have only a modest impact""; ""multiple layers of techniques are likely needed to detect AI-generated content with a high degree of robustness""",///,///,"Bengio, Y. (Chair) et al. (2026). International AI Safety Report 2026. Department for Science, Innovation and Technology (DSIT), UK Government. February 2026. Available at: International AI Safety Report 2026 | International AI Safety Report. https://internationalaisafetyreport.org/sites/default/files/2026-02/international-ai-safety-report-2026_1.pdf","checked

FLAG (2026-05-19): double-check page citation — SID 146 was found at pp. 96–97 in the original report (cited as p.98). Bengio entries should be re-verified against the original PDF before publication.","3.2 PRIMARY Opinion Formation and Political Participation — Citizens cannot reliably distinguish authentic from AI-generated political content, undermining informed opinion formation. P4Dem inference",3.1 SECONDARY Independent and Fact-Based Journalistic Media — Professional journalism loses its epistemic authority when AI-generated content is indistinguishable from verified reporting. P4Dem inference,2.1 SECONDARY Free and Fair Elections — Inability to detect fake electoral content directly damages election integrity. P4Dem inference,,,,no,,,,
213,AI-generated content has become indistinguishable from authentic media — people misidentify AI-generated text as human 77% of the time and AI voice clones as real 80% of the time — making detection-based solutions increasingly ineffective,"""participants misidentified text generated by OpenAI's GPT-4o model as human-written 77% of the time… a study found that people took AI voice clones to be the real speaker in 80% of cases""","Developer-side embedding of machine-readable digital signatures (watermarks) into AI-generated content at creation time, and maintenance of logs of AI outputs that can be compared against suspected generations — so that the provenance of synthetic content is detectable downstream","""Watermarking involves embedding a machine-readable digital signature into the content during creation, allowing for automated traceable verification of its origin and authenticity""; ""Another approach involves maintaining logs of AI outputs and using them to identify newly generated AI content by comparison""",///,///,"Bengio, Y. (Chair) et al. (2026). International AI Safety Report 2026. Department for Science, Innovation and Technology (DSIT), UK Government. February 2026. Available at: International AI Safety Report 2026 | International AI Safety Report. https://internationalaisafetyreport.org/sites/default/files/2026-02/international-ai-safety-report-2026_1.pdf","checked

FLAG (2026-05-19): double-check page citation — SID 146 was found at pp. 96–97 in the original report (cited as p.98). Bengio entries should be re-verified against the original PDF before publication.","3.2 PRIMARY Opinion Formation and Political Participation — Citizens cannot reliably distinguish authentic from AI-generated political content, undermining informed opinion formation. P4Dem inference",3.1 SECONDARY Independent and Fact-Based Journalistic Media — Professional journalism loses its epistemic authority when AI-generated content is indistinguishable from verified reporting. P4Dem inference,2.1 SECONDARY Free and Fair Elections — Inability to detect fake electoral content directly damages election integrity. P4Dem inference,,,,no,,,,
214,AI-generated disinformation and deepfakes undermine trust in elections,"""deepfakes and misinformation threaten to cause more extreme damage""","Developer-side content policies: banning political uses of AI, rejecting political-candidate image generation requests, and requiring disclaimers on AI election content (Meta, OpenAI)","""Meta…requires AI content used in elections to be marked with disclaimers. OpenAI has emphasized banning political uses of AI and notes its use of AI to automatically reject hundreds of thousands of requests to generate images of political candidates""",///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,2.1 PRIMARY Free and Fair Elections,3.1 SECONDARY Independent and Fact-Based Journalistic Media,3.2 SECONDARY Opinion Formation and Political Participation,,,,,,,,
215,AI-generated disinformation and deepfakes undermine trust in elections,"""deepfakes and misinformation threaten to cause more extreme damage""","Voice and audio authentication tools (e.g., ElevenLabs detection) used by election campaigns and civil society actors to identify and monitor election-related voice misuse","""Election campaigns are leveraging technologies like ElevenLabs to detect misuse of their voice…""; also (civil society context): ""Audio-focused AI companies such as ElevenLabs offer tools to analyze audio content for authenticity that may help politicians track misuse of their voice for malign election influence""",///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,2.1 PRIMARY Free and Fair Elections,3.1 SECONDARY Independent and Fact-Based Journalistic Media,3.2 SECONDARY Opinion Formation and Political Participation,,,,,,,,
216,"AI systems in government services embed bias in service delivery and may fail to reach or correctly identify marginalised populations, risking discrimination and disenfranchisement.","""given risks around government misuse of data and the potential to advance bias through increasingly automated provision and related barriers to public trust""",Embed equity and bias considerations into the design of AI-driven government interventions to prevent disenfranchisement,"""AI-related government interventions must take questions of bias and equity into their design…to ensure potential interventions do not disenfranchise or harm citizens""",///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",,,,,,,,,,,,
217,"AI systems in government services embed bias in service delivery and may fail to reach or correctly identify marginalised populations, risking discrimination and disenfranchisement.","""given risks around government misuse of data and the potential to advance bias through increasingly automated provision and related barriers to public trust, democratic government use of AI requires ongoing monitoring and attention to ensure fairness, equity, and rights-protection.""",Regulatory guardrails on government use of AI to prevent discriminatory or unintended effects,"""Close monitoring and regulatory guardrails on government use of AI is necessary given the risks of unintended effects or active discrimination""",///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",,,,,,,,,,,,
218,"General-purpose AI will automate a wide range of cognitive tasks, shifting earnings from labour to capital owners, and disproportionately affecting younger workers and low-income countries","""AI adoption may shift earnings from labour to capital owners… One study estimates that AI's impact on economic growth in advanced economies could be more than twice that in low-income countries""",Anticipatory skill monitoring mechanisms to flag at-risk occupations — forecasting AI's labour-market effects to guide policy response,"""Resistance measures could include anticipatory skill monitoring mechanisms to flag at-risk occupations… """,///,///,"Bengio, Y. (Chair) et al. (2026). International AI Safety Report 2026. Department for Science, Innovation and Technology (DSIT), UK Government. February 2026. Available at: International AI Safety Report 2026 | International AI Safety Report. https://internationalaisafetyreport.org/sites/default/files/2026-02/international-ai-safety-report-2026_1.pdf","checked

FLAG (2026-05-19): double-check page citation — SID 146 was found at pp. 96–97 in the original report (cited as p.98). Bengio entries should be re-verified against the original PDF before publication.",1.4 PRIMARY Economic and Social Rights — Labour displacement and concentration of AI gains in capital constitute direct threats to material conditions and economic rights.,4.2 SECONDARY The Country's Democratic Impact Abroad — AI-driven inequality between advanced and low-income economies may widen the democratic-development gap globally. P4Dem inference,,,,,no,,,,
219,"States and institutions become dependent on AI capabilities they do not control, concentrated in a small number of foreign providers across three choke points: compute supply chain (chips, manufacturing equipment, export-control regime), cloud access (hyperscalers can deny, throttle, or condition service), and model-level access (constitutions/specs gate permissible behaviour). Dependence becomes coercible when a small set of components sits on the critical path of many downstream users — a structural mechanism distinct from normative authority transfer (H9D), since compute/cloud layer coercion operates through access denial rather than embedded norms.","""States can be coerced through infrastructural choke points, constraining the possible decisions they can make based on public input... Dependence becomes coercible when a small set of components sits on the critical path of many downstream users."" ""Three are especially salient. First, the compute supply chain... Second, cloud access concentrates inference in a small number of hyperscalers, which can deny service, throttle access, or enforce jurisdictional compliance. Third, model access itself can be gated at the model level via the model's constitution..."" ""AI dependence operates across layers with distinct coercive logics. At the compute and cloud layers, the mechanism is familiar: access can be denied, throttled, or conditioned, and the affected state knows it is being coerced.""",///,///,///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",NEW — gap identified in blindspots audit. Distinct from H9A (concentration = who holds power) and H9D (normative authority = embedded value capture). H9F = access-denial / structural dependency mechanism.,,,,,,,,,,,
220,"Default-deployment inertia reinforces lock-in even where alternatives exist: frontier providers offer integration support, documentation, and contractual guarantees that open-source alternatives typically lack, and institutional procurement tends to follow the path of least resistance. Even where open-weight models relieve the cloud and normative layers, compute hardware concentration in a narrow supply chain means infrastructure dependency persists.","""Three limitations constrain this counterweight in practice. First, compute hardware remains concentrated in a narrow supply chain, so the infrastructure dependency persists even when the normative layer is addressed. Second, default-deployment inertia is strong: frontier providers offer integration support, documentation, and contractual guarantees that adapted open-source alternatives typically lack, and institutional procurement tends to follow the path of least resistance.""","Public AI alternatives and open-weight adoption by geopolitical/linguistic blocs: a single capable actor within a bloc can produce an adapted model that others adopt, narrowing normative-capture risk — but only where procurement inertia is actively countered.","""Open-weight models with performance approaching closed-source frontier systems now exist, and a country or regional coalition with sufficient compute can run and adapt these models independently, relieving both the cloud access and normative choke points. The technical capacity required to adapt a model's constitution need not reside in every procuring state; a single capable actor within a geopolitical or linguistic bloc can produce an adapted model that others in the bloc adopt.""",///,///,"Guzman Piedrahita, D., Banerjee, D., Blin, K., et al. (2026). AI Poses Risks to Democratic and Social Systems. https://zhijing-jin.com/d/2026-ai-risk.pdf",NEW — H9F entry pairing with B9 oversight (countervailing via public/open alternatives). Compute-layer lock-in persists regardless.,,,,,,,,,,,
